ID,var_rpta_alt,Prob_uno
104747#243054#839957,0,0.4304
24960#848648#231694,0,0.3604
266725#858205#222137,0,0.1572
355390#910345#169997,0,0.4064
412878#121814#966003,0,0.2591
36703#658568#421774,0,0.3588
456536#711339#369003,0,0.4773
67617#311626#771518,0,0.2474
38902#694391#385951,0,0.3761
130880#545498#534844,0,0.169
157190#732174#348168,1,0.7777
163802#842876#237466,0,0.4485
172255#183318#904819,0,0.4367
571473#479250#601092,0,0.4576
311607#1025710#54632,0,0.126
518157#467867#612475,0,0.474
523992#503628#576714,0,0.3934
297923#779951#300391,1,0.6426
174045#902854#177488,0,0.3571
4001#813298#267044,1,0.6469
69597#697545#382797,0,0.324
250253#745645#334697,0,0.3905
292823#802587#277755,0,0.1892
24022#774610#305732,0,0.3133
397922#506479#573863,1,0.961
469931#778025#302317,0,0.3555
390259#177225#910884,1,0.5411
388836#1064982#15360,1,0.6822
28843#303802#792221,0,0.3235
516619#122881#964939,1,0.6734
45796#181447#906689,1,0.5429
10136#319006#764130,0,0.2034
120396#647863#432479,0,0.2821
48166#621270#459072,1,0.5007
189877#435875#644358,0,0.1625
565365#879485#200857,1,0.6065
343464#139183#948916,0,0.4478
565084#443622#636698,1,0.5021
254442#262076#820907,0,0.3497
465201#947780#132562,1,0.7307
337152#877762#202580,0,0.2716
353526#713808#366534,0,0.3019
172114#354152#725709,0,0.2755
262641#790657#289685,0,0.2039
139713#419138#660851,1,0.7037
462925#889939#190403,0,0.2833
295181#205898#879370,1,0.5942
269695#191698#896541,0,0.1411
627381#741226#339116,0,0.1559
348040#109116#978681,1,0.7462
517495#387677#692177,0,0.4056
121030#237681#845295,0,0.1737
608135#265122#817867,0,0.3819
205743#806325#274017,0,0.2779
20419#771749#308593,0,0.1868
12083#454607#625739,0,0.0804
602622#387414#692437,0,0.3369
591852#250837#832162,1,0.6193
325942#313917#769221,0,0.3034
520545#226016#856797,0,0.3832
578807#483138#597204,0,0.1478
200296#756981#323361,0,0.3005
232530#154840#933273,0,0.2123
153354#996520#83822,0,0.4933
53741#704840#375502,0,0.0972
100459#174183#913930,1,0.6052
170488#827698#252644,0,0.3176
227010#723884#356458,0,0.3436
186230#1042338#38004,1,0.7062
563490#287637#795434,1,0.6055
326226#362501#717357,0,0.3643
308957#32479#885339,1,0.6983
207947#100300#987475,0,0.494
434307#754303#326039,1,0.5667
284912#821157#259185,0,0.34
385228#505149#575193,1,0.669
223175#513133#567209,0,0.2541
5812#924544#155798,0,0.2338
193429#966345#113997,0,0.2062
265963#41951#1063154,0,0.2371
338099#350526#730240,0,0.4904
491549#1065567#14775,0,0.331
548310#664793#415549,0,0.2304
444764#548239#532103,1,0.5505
316078#3530#1006671,0,0.1992
293730#665570#414772,0,0.2394
153645#333808#746773,1,0.6851
537829#851065#229277,1,0.6202
234390#623737#456605,1,0.5774
392161#113199#974616,1,0.6366
265180#606584#473758,0,0.064
390635#952606#127736,0,0.4607
609978#740962#339380,1,0.6745
118898#711352#368990,0,0.4584
232350#528751#551591,0,0.0341
231969#1078252#2090,0,0.4559
97128#380117#699738,1,0.5166
354245#442132#638178,0,0.3379
463539#278#998402,1,0.581
599947#343367#737297,1,0.802
550865#856982#223360,1,0.5086
213716#94473#993306,0,0.4618
476475#795297#285045,0,0.26
41238#830771#249571,1,0.5369
256665#753897#326445,1,0.6978
269385#9863#1077906,0,0.2453
542144#161359#926751,1,0.814
391171#1079171#1171,0,0.4039
340067#778545#301797,0,0.1945
556759#1020725#59617,1,0.8962
461522#636629#443713,1,0.5474
517829#92964#994803,1,0.5484
345515#69264#1035788,0,0.3185
29776#374234#705620,0,0.1716
385906#352450#727419,0,0.357
126021#739822#340520,0,0.3637
33730#647777#432565,0,0.2853
60826#296255#786847,0,0.4249
166426#961077#119265,0,0.3521
78694#1068660#11682,0,0.3492
145913#350427#730337,0,0.2886
477377#621652#458690,1,0.5231
400350#548449#531893,1,0.676
443742#817737#262605,0,0.4925
497775#553486#526856,1,0.5238
581136#401951#677966,1,0.5516
86868#818240#262102,0,0.1473
425521#966454#113888,0,0.4414
613378#94079#993696,0,0.4123
71823#91297#996458,0,0.0506
98893#490522#589820,0,0.4096
102384#645194#435148,0,0.4178
550151#65669#1039351,0,0.4767
587400#867191#213151,0,0.1236
304135#732740#347602,0,0.4302
493757#1039768#40574,1,0.7561
259507#704191#376151,0,0.1795
576820#312846#770293,0,0.4178
381895#384347#695510,1,0.6579
567684#557635#522707,0,0.4706
459233#198079#890184,0,0.3036
51690#490609#589733,0,0.281
15065#874646#205696,0,0.454
165162#951050#129292,1,0.5763
306591#28739#884753,0,0.2063
415355#852347#227995,1,0.5861
60453#795564#284778,0,0.4716
276188#137125#950978,1,0.6511
164711#284640#798414,0,0.423
98259#807165#273177,0,0.478
538433#533799#546543,0,0.3737
515753#321796#761349,1,0.5558
437809#808346#271996,1,0.7819
211074#118978#968849,1,0.5921
184995#510404#569938,0,0.2427
162688#113851#973963,1,0.5091
243554#636969#443373,1,0.549
4791#818238#262104,0,0.4404
141114#461512#618828,1,0.8579
541918#809795#270547,0,0.4302
310782#23642#753721,0,0.0815
451683#924825#155517,0,0.184
285402#624538#455804,1,0.6707
306315#29332#728809,0,0.1108
412181#273215#809802,1,0.8908
189410#591263#489079,0,0.1335
59694#502704#577638,0,0.4583
262563#509495#570847,0,0.3135
440184#405466#674458,0,0.3196
494276#943063#137279,1,0.5308
130128#664564#415778,1,0.5069
389493#98195#989573,0,0.4617
469495#228816#854019,1,0.8535
252109#348063#732673,0,0.0906
252973#992336#88006,0,0.4111
177713#183376#904762,1,0.6638
560213#500179#580163,0,0.1771
373048#70356#1034694,0,0.3497
180043#968957#111385,0,0.2192
227306#760158#320184,0,0.1568
275296#424535#655448,1,0.6118
462522#606265#474077,0,0.1402
389702#804109#276233,0,0.3817
484108#981636#98706,1,0.5367
471949#951942#128400,1,0.6557
127057#410231#669692,1,0.8599
242461#248487#834513,0,0.3936
624309#883214#197128,0,0.1834
515957#795477#284865,0,0.4892
310973#1041476#38866,0,0.4887
402530#309111#774013,1,0.6529
149943#472233#608109,0,0.1266
180074#833914#246428,0,0.3938
169594#1063176#17166,0,0.4768
204579#664347#415995,1,0.5897
404969#660534#419808,0,0.3494
6696#631987#448355,1,0.8354
583475#106822#980964,0,0.2516
615275#425272#654704,0,0.4031
129734#856358#223984,1,0.5382
423680#953048#127294,1,0.6468
299766#128782#959068,0,0.4871
91972#630267#450075,0,0.2091
34512#1050785#29557,0,0.3005
223088#21524#1003857,1,0.7521
241771#466464#613878,1,0.5511
215668#668593#411749,0,0.3146
461126#751211#329131,0,0.3565
327581#151737#936367,1,0.6484
302326#36129#1068922,0,0.223
566073#917409#162933,0,0.4789
184510#850286#230056,0,0.213
109625#365350#714508,1,0.5283
227753#253720#829278,1,0.5642
534649#1027928#52414,0,0.3951
19305#732378#347964,0,0.2354
146065#318451#764686,0,0.1137
225855#505899#574443,0,0.3508
323571#386743#693108,0,0.3526
363551#1052369#27973,1,0.6895
417380#89358#1015948,1,0.5215
56829#758881#321461,1,0.5887
173333#265149#817839,0,0.3342
123521#329074#751617,1,0.7892
272133#758077#322265,1,0.6041
177581#457239#623091,1,0.5691
518298#392107#687793,1,0.8286
115057#330633#750076,0,0.4907
260220#968157#112185,0,0.3153
350957#911427#168915,0,0.3383
593348#216645#866128,1,0.7216
304034#810701#269641,0,0.2761
139314#249208#833792,1,0.5196
487489#325299#757831,0,0.3191
306541#608537#471805,0,0.1558
254696#390453#689440,1,0.627
65116#125806#962026,0,0.2751
351231#541901#538441,0,0.2276
505102#1052747#27595,0,0.1357
502120#336229#744357,1,0.5669
509522#106930#980857,1,0.6153
408833#288048#795022,0,0.3677
222420#961329#119013,0,0.08
149526#697027#383315,0,0.3212
457413#780352#299990,1,0.5655
11609#26494#1008852,0,0.4602
130880#545373#534969,0,0.1963
144414#122324#965493,1,0.7693
213884#1033675#46667,0,0.3761
271871#718532#361810,1,0.753
285327#189124#899083,0,0.4312
256833#162221#925887,1,0.6673
523947#503695#576647,0,0.4158
262218#358997#720863,0,0.4953
629445#102338#985432,1,0.5678
37602#444472#635858,1,0.6654
465821#931043#149299,0,0.2831
542633#289558#793501,1,0.5566
185359#472213#608129,0,0.1448
217342#576869#503473,0,0.1847
1329#196932#891327,1,0.592
396907#34190#1070843,1,0.7413
434051#764987#315355,1,0.7736
333411#58988#1045984,1,0.683
483355#882378#197964,0,0.4066
41603#532046#548296,1,0.6284
158689#547149#533193,0,0.2403
437748#736038#344304,0,0.3364
178948#40462#1064630,1,0.613
193245#606934#473408,0,0.1426
17104#508989#571353,0,0.3365
234833#788858#291484,0,0.3697
412313#793444#286898,0,0.2794
373242#54788#1050160,1,0.8365
411863#724333#356009,0,0.2639
355626#51841#1053104,0,0.0857
553681#502344#577998,1,0.6757
502866#792741#287601,0,0.3073
594457#781646#298696,0,0.4339
497801#716259#364083,1,0.6698
13237#998700#81642,0,0.4181
43854#792729#287613,1,0.6846
68997#343846#736828,0,0.376
301857#1070082#10260,0,0.3795
361991#987835#92507,1,0.7206
482553#1050655#29687,0,0.3019
354441#738768#341574,0,0.139
451970#162242#925866,1,0.5069
202614#247852#835148,1,0.7179
620636#168732#919401,1,0.6756
622982#365461#714393,1,0.8429
416349#162080#926027,1,0.628
23977#822650#257692,0,0.4341
278713#494546#585796,0,0.47
507362#300936#782180,0,0.2293
77654#390412#689476,0,0.1821
246059#875151#205191,0,0.4086
143312#533606#546736,0,0.0912
218843#845281#235061,0,0.4046
445961#78807#1026336,0,0.384
312228#1070367#9975,0,0.4667
590564#427547#652437,0,0.494
276159#198154#890109,1,0.5919
2657#705725#374617,0,0.4653
287384#1945#1073372,0,0.3367
279065#879322#201020,0,0.196
497181#283091#799964,0,0.3889
352231#758100#322242,0,0.4786
576297#1049731#30611,0,0.1594
402471#726441#353901,0,0.4731
385593#991640#88702,0,0.3994
507536#93743#994034,0,0.4321
13319#292853#790219,1,0.5654
232749#383919#695938,0,0.4749
293547#9504#1075841,0,0.3976
232495#590975#489367,1,0.7596
39943#252305#830702,0,0.1208
246689#1009693#70649,0,0.4806
60940#652722#427620,0,0.4775
203312#374040#705814,0,0.1951
266402#986343#93999,0,0.4579
569456#726301#354041,0,0.2263
478969#262966#820022,1,0.7071
147106#601761#478581,1,0.6079
550614#142274#945824,1,0.5661
100302#423778#656204,1,0.778
184638#780899#299443,0,0.4573
275057#236856#846084,0,0.4858
487870#993660#86682,0,0.472
393250#835982#244360,0,0.2814
147261#35267#1069787,1,0.7806
593333#819500#260842,0,0.4402
507352#531973#548369,1,0.5627
557007#490472#589870,0,0.4231
199993#1028934#51408,0,0.1199
242808#903084#177258,0,0.2222
12934#946481#133861,1,0.5372
579150#280525#802515,0,0.4848
539010#652772#427570,0,0.2463
621037#144462#943636,1,0.5508
398730#409833#670086,1,0.784
345627#360734#719129,1,0.5717
409566#1043170#37172,0,0.4192
408305#529735#550607,0,0.4017
114736#998778#81564,0,0.3451
222169#557149#523193,0,0.29
57276#761928#318414,1,0.7965
249227#622974#457368,1,0.5145
214129#350256#730505,0,0.3913
57291#195895#892362,0,0.0753
225087#441392#638918,0,0.4565
44938#536364#543978,0,0.087
293659#256995#825981,0,0.4591
382280#575816#504526,0,0.3018
423389#438201#642101,1,0.8379
315681#963811#116531,1,0.6044
469552#269879#813133,1,0.6637
394836#966111#114231,0,0.4568
21204#395399#684510,0,0.1539
127244#1025181#55161,1,0.579
42028#429505#650492,0,0.3832
32828#361037#718826,0,0.4817
389531#164820#923304,1,0.7232
299910#559944#520398,0,0.1945
525541#462461#617878,0,0.3277
483306#606721#473621,1,0.7537
294275#690093#390249,1,0.6829
452885#673213#407129,1,0.5973
490871#78029#1027067,0,0.2368
124304#107773#980022,0,0.4198
618099#392775#687135,1,0.5672
605004#184529#903610,0,0.4289
2128#196164#892093,0,0.3995
228552#1071478#8864,0,0.2299
115478#116724#971090,1,0.5631
262138#634252#446090,0,0.3569
436883#818032#262310,1,0.5673
404223#999993#80349,1,0.5158
310654#32481#886263,0,0.0621
527794#1014345#65997,0,0.1883
310203#29974#1014039,0,0.0888
543098#39763#1065329,0,0.2969
43911#534834#545508,0,0.3144
494414#793840#286502,0,0.437
405535#999654#80688,0,0.3398
452943#782861#297481,1,0.69
38524#117972#969856,1,0.7999
59874#899093#181249,0,0.3376
242441#711270#369072,0,0.3572
112090#743631#336711,0,0.2099
109857#570629#509713,0,0.32
149825#769101#311241,0,0.2879
189410#591377#488965,0,0.1088
449465#361067#718797,0,0.4895
508049#667478#412864,0,0.2913
338163#429499#650497,1,0.9283
171054#994725#85617,0,0.3677
531833#369522#710334,1,0.5381
627232#204617#880635,1,0.932
192596#604850#475492,0,0.357
24389#809051#271291,0,0.2333
156458#94625#993151,1,0.8328
60159#486264#594078,1,0.5118
15527#649851#430491,0,0.2853
906#597089#483253,1,0.6122
253333#637134#443208,0,0.1704
468511#307932#775189,1,0.5917
508235#866609#213733,0,0.3914
435414#814432#265910,1,0.5458
500527#337782#742842,1,0.6304
515059#611698#468644,1,0.593
87193#889100#191242,0,0.1398
617302#500827#579515,0,0.4735
408849#606373#473969,1,0.6054
89647#810491#269851,1,0.5584
118542#47483#1057341,0,0.3788
301325#467903#612439,0,0.2933
133423#165459#922659,1,0.5662
263923#40849#1064253,1,0.8832
306104#29980#1011121,0,0.0521
418130#609222#471120,0,0.4449
342432#171178#916958,1,0.6071
146717#518620#561722,0,0.4083
407514#728318#352024,1,0.6085
337992#873424#206918,0,0.2514
560274#652767#427575,0,0.317
618205#957417#122925,1,0.569
430082#1054956#25386,1,0.7818
140578#290152#792905,0,0.3989
26531#844564#235778,0,0.262
137758#298296#784806,0,0.2416
335603#73652#1031400,0,0.1543
63023#1035739#44603,0,0.3711
576059#347589#733135,1,0.7809
363687#730994#349348,1,0.5913
34498#231207#851625,0,0.2141
397877#319542#763607,0,0.1621
200402#545582#534760,1,0.6543
33475#698728#381614,1,0.5266
287149#634693#445649,0,0.3934
354763#789852#290490,1,0.5761
156963#163822#924298,0,0.4664
630051#206306#878975,1,0.8414
21805#673780#406562,0,0.2566
120719#793898#286444,1,0.6397
510638#378777#701077,1,0.9335
84280#394394#685518,1,0.7969
131302#412349#667568,1,0.7278
54319#808141#272201,1,0.5753
222497#564457#515885,0,0.281
387920#166363#921760,1,0.678
310027#507010#573332,0,0.0249
200440#403628#676293,0,0.2824
170527#362449#717407,1,0.615
598233#424479#655506,0,0.3821
8965#646771#433571,0,0.2079
79690#872862#207480,1,0.7003
92864#227117#855703,0,0.2548
102237#1027086#53256,0,0.4796
3150#975451#104891,1,0.5978
258396#273122#809895,0,0.3058
292405#552795#527547,0,0.4693
558303#336132#744455,0,0.4932
463178#320126#763031,1,0.5754
430133#168025#920107,1,0.5189
228919#798578#281764,1,0.7201
482167#856841#223501,1,0.7866
261345#618149#462193,1,0.5323
240517#832586#247756,0,0.3967
188079#495119#585223,1,0.5151
62930#440595#639713,0,0.4643
181347#910033#170309,0,0.1421
226270#828610#251732,1,0.5293
506941#892950#187392,1,0.6556
466406#384710#695148,0,0.3886
334358#683092#397250,0,0.3616
596051#332139#748426,0,0.4746
630255#958900#121442,0,0.3582
606151#466542#613800,0,0.294
634334#956752#123590,1,0.7246
178937#567430#512912,0,0.3817
627484#72249#1032811,0,0.2453
90678#472348#607994,0,0.4111
180307#840848#239494,0,0.3635
270687#5840#875952,1,0.593
449623#408831#671090,0,0.452
348694#272112#810901,1,0.6984
276488#816604#263738,1,0.7194
337099#842881#237461,0,0.406
35821#504806#575536,1,0.535
436457#586183#494159,0,0.4287
367344#1020727#59615,0,0.4432
47086#841987#238355,0,0.4594
39652#868843#211499,0,0.2106
200376#1024319#56023,1,0.5532
136179#256822#826156,1,0.705
162192#569123#511219,0,0.2532
205038#474376#605966,0,0.1367
198791#605003#475339,1,0.6267
206021#884682#195660,0,0.4869
241475#494259#586083,0,0.3647
457962#209704#873032,1,0.8318
532286#209030#873696,1,0.7718
530157#246574#836421,0,0.4804
311006#20562#998328,0,0.07
330612#278782#804258,1,0.5473
431530#318521#764618,1,0.609
601075#417795#662202,1,0.7339
331540#169832#918304,0,0.3855
112442#1073990#6352,0,0.2566
99879#430198#649806,0,0.1376
368355#356222#723641,0,0.1856
541234#111112#976694,1,0.7297
356164#190128#898108,0,0.396
316655#4714#1072415,0,0.1723
89468#552219#528123,0,0.4625
518846#621669#458673,0,0.4828
623155#146097#941996,1,0.6837
165003#733202#347140,0,0.4708
117282#631115#449227,0,0.3129
253363#38451#1066637,0,0.2223
236709#684861#395481,0,0.1282
629679#268330#814682,1,0.6644
607132#676627#403715,1,0.576
387487#1075494#4848,1,0.7805
414461#95190#992589,0,0.1939
601729#638888#441454,0,0.3258
529077#117833#969992,0,0.4298
283501#323513#759617,0,0.0921
151958#96524#991247,1,0.7656
250276#490668#589674,0,0.1812
218499#203593#881648,0,0.2894
419183#781304#299038,0,0.2888
567829#304630#778476,0,0.3945
203954#144698#943403,0,0.3032
197350#474804#605538,1,0.5127
190708#409840#670079,0,0.3178
233489#206983#875686,1,0.8406
200016#734946#345396,0,0.3445
120183#1022784#57558,1,0.5636
34578#1020970#59372,0,0.3989
459851#467359#612983,0,0.4144
565430#878194#202148,1,0.512
353424#100557#987220,0,0.3207
416883#231320#851515,1,0.7397
446145#141175#946928,0,0.4314
103649#211092#871660,0,0.3485
242307#492996#587346,1,0.6281
200176#47720#1057106,0,0.4128
111717#225935#856878,1,0.9233
455966#258863#824128,0,0.4093
252465#718311#362031,0,0.2996
381454#962798#117544,1,0.5681
535117#320827#762330,1,0.7987
371204#348336#732402,0,0.1576
527369#209629#873105,1,0.7082
240636#640710#439632,0,0.1418
89292#643562#436780,0,0.226
71811#411381#668544,1,0.6876
37970#764577#315765,0,0.2976
142497#878036#202306,0,0.171
123337#835590#244752,1,0.6244
385457#123004#964815,0,0.3729
477395#357494#722370,0,0.433
441747#398167#681737,1,0.7626
413095#987601#92741,1,0.7056
366870#789986#290356,0,0.316
588335#258658#824330,0,0.318
175514#856452#223890,1,0.6864
74401#1043705#36637,0,0.3784
233755#961154#119188,1,0.5958
302256#415747#664215,1,0.8317
199446#1045956#34386,1,0.5059
201444#496787#583555,1,0.5167
145290#150264#937829,0,0.2212
411944#598112#482230,0,0.3272
397044#307779#775341,0,0.4839
342449#849194#231148,1,0.7111
568083#352421#727448,0,0.4162
417984#170551#917589,1,0.6833
360732#987183#93159,1,0.7128
273600#1079627#715,0,0.4604
173546#645379#434963,0,0.2292
256039#94645#993131,0,0.3732
185424#126006#961826,0,0.1265
3002#756510#323832,0,0.4311
456177#1016017#64325,0,0.2795
423974#1054944#25398,1,0.5347
215944#1034185#46157,1,0.5284
114994#168927#919208,1,0.8752
140593#415010#664935,0,0.1194
425061#988428#91914,0,0.3875
632614#262979#820009,1,0.8303
296123#415724#664238,0,0.3143
604821#682958#397384,1,0.6157
26138#954250#126092,0,0.4788
547131#564217#516125,1,0.7645
28665#782483#297859,0,0.3548
139524#357873#690623,0,0.4904
216117#274300#808721,1,0.6559
209558#659668#420674,0,0.0323
204706#884242#196100,0,0.331
452745#385372#694481,0,0.4176
541393#845000#235342,0,0.265
605059#709420#370922,1,0.6347
273979#200339#887929,1,0.6906
556679#566631#513711,0,0.359
561367#349030#731721,0,0.4542
2027#836773#243569,0,0.3172
5840#519712#560630,0,0.2675
196067#1042004#38338,0,0.256
165592#480132#600210,0,0.1565
207775#376530#703323,1,0.5363
239908#710224#370118,1,0.5514
67010#777520#302822,0,0.3992
38474#1011719#68623,1,0.6874
539342#47096#1057736,0,0.3753
405782#997225#83117,0,0.3613
156448#93745#994032,1,0.7951
620761#293347#789732,1,0.6827
530949#663432#416910,1,0.8739
403245#799496#280846,1,0.5528
634143#676630#403712,1,0.5015
21692#464542#615800,0,0.2008
164029#561065#519277,0,0.1636
312732#22087#753442,0,0.0623
353311#709379#370963,0,0.3108
370385#1006300#74042,0,0.387
516401#867356#212986,0,0.1357
479813#623182#457160,1,0.6478
404357#986160#94182,0,0.3858
385056#305433#777672,1,0.6709
500632#44496#1060323,1,0.5182
429229#806248#274094,1,0.5251
107418#295650#787448,0,0.4884
11175#787381#292961,0,0.4625
157984#262034#820949,0,0.3888
77680#810104#270238,0,0.4524
195354#237150#845806,0,0.3846
270047#308760#774362,1,0.5016
492407#357650#722213,1,0.7984
17310#807279#273063,0,0.3888
366523#1030011#50331,0,0.3084
562493#335794#744790,1,0.631
315291#1028520#51822,0,0.1002
599093#84967#1020295,0,0.159
490722#63569#1041426,0,0.0535
580252#869186#211156,0,0.2624
569261#152223#935875,0,0.2642
61814#646388#433954,1,0.5074
125971#279781#803266,0,0.3046
253505#979104#101238,0,0.2232
582503#385435#694417,0,0.4598
177517#992999#87343,1,0.6902
306476#28012#886115,0,0.155
609271#341442#739209,1,0.6979
580678#634263#446079,0,0.2322
361342#715782#364560,0,0.3957
119729#511233#569109,0,0.0959
571150#871750#208592,0,0.4577
134974#294449#788642,0,0.1905
390352#218991#863787,1,0.6613
25060#182019#906116,0,0.3427
279395#770465#309877,0,0.4289
276666#308810#774311,1,0.6603
323611#748803#331539,0,0.4236
323084#957584#122758,0,0.3195
335409#870888#209454,0,0.2729
555770#39916#1065176,0,0.4478
528576#1014741#65601,1,0.8062
523450#288372#794697,1,0.792
50077#20875#1076519,0,0.0377
445980#808312#272030,1,0.5804
485441#573951#506391,0,0.496
43437#546191#534151,0,0.3845
417401#535480#544862,1,0.6432
56571#1054702#25640,0,0.3297
90057#1027284#53058,0,0.393
82111#674538#405804,0,0.1966
211763#504073#576269,0,0.3959
59670#696310#384032,1,0.5947
420407#914662#165680,1,0.6726
113149#713964#366378,0,0.3254
37732#380030#699823,1,0.5803
337725#398221#681683,1,0.6273
308802#678570#401772,1,0.7698
85821#396493#683418,1,0.6669
518884#622004#458338,0,0.0506
415811#627371#452971,0,0.4751
130632#839385#240957,0,0.2721
81256#321957#761187,0,0.1575
629408#194632#893623,0,0.3068
329015#680963#399379,0,0.3915
182994#317770#765368,0,0.1769
59475#790843#289499,0,0.2676
267000#713492#366850,1,0.561
57914#273958#809060,0,0.273
213071#239429#843585,1,0.502
310510#28503#885340,0,0.0703
400531#956589#123753,0,0.2706
91406#484479#595863,0,0.1687
604676#702032#378310,0,0.2641
542351#40419#1064673,0,0.151
441780#359900#719962,0,0.4208
266#151240#936856,0,0.1498
177750#33509#1071521,0,0.4631
473525#881984#198358,0,0.4203
310089#22954#1062831,0,0.1184
533985#642158#438184,0,0.4727
313948#649464#430878,0,0.4879
491435#1010773#69569,0,0.3241
361202#1050297#30045,1,0.5213
354629#144858#943241,0,0.2938
429653#888047#192295,1,0.5633
392027#245406#837591,1,0.6072
241057#189789#898444,0,0.2701
404223#35329#1069725,0,0.2684
17923#636724#443618,0,0.4183
293085#1048532#31810,0,0.2917
88785#221273#861519,0,0.3699
344#166933#921191,0,0.1786
370435#455554#624782,1,0.6094
429488#1055253#25089,0,0.4777
393659#756622#323720,0,0.459
208498#900514#179828,0,0.1878
492579#299956#783156,0,0.4892
586327#646852#433490,0,0.3571
11092#319283#763863,1,0.542
347646#61261#1043719,0,0.4987
577004#87048#1018217,0,0.262
580051#276213#806814,0,0.4298
560949#338889#741756,1,0.6651
7861#10774#1079846,0,0.1113
231619#727342#353000,0,0.4851
163867#176022#912076,0,0.4496
323218#573523#506819,0,0.4953
346625#76963#1028116,1,0.7092
504257#353949#725917,1,0.8078
347766#828017#252325,1,0.5823
296159#97788#989978,0,0.4494
437969#940168#140174,0,0.2011
526486#879036#201306,0,0.2757
304270#849643#230699,1,0.6854
632249#200279#887989,0,0.2899
591615#966620#113722,1,0.5636
409223#1042637#37705,0,0.3133
307174#587618#492724,0,0.4051
624138#369816#710038,1,0.511
591492#576378#503964,0,0.452
322911#849047#231295,1,0.5955
568196#477685#602657,0,0.1917
422934#966942#113400,1,0.6479
425296#1053768#26574,0,0.3473
612846#311829#771316,0,0.243
283443#778567#301775,0,0.3707
598232#532693#547649,0,0.3685
247395#1056096#24246,0,0.4447
117243#747846#332496,0,0.4187
144286#659841#420501,0,0.4248
260829#122630#965188,1,0.7801
185429#428157#651839,1,0.5696
27690#1002131#78211,0,0.3279
504052#199974#888295,0,0.4463
608434#1020269#60073,1,0.7321
607327#674363#405979,1,0.7948
70083#484719#595623,1,0.6926
2078#159527#928576,1,0.5607
64548#642712#437630,0,0.3431
236660#293345#789734,1,0.6327
82361#256068#826916,0,0.3221
203103#1018441#61901,0,0.4573
238561#498145#582197,0,0.273
72641#852014#228328,1,0.6784
172360#238788#844217,0,0.3425
308627#608211#472131,0,0.4069
153991#814290#266052,0,0.3919
343997#60755#1044221,0,0.4521
523604#944808#135534,1,0.682
481865#748129#332213,1,0.528
579915#669467#410875,0,0.3277
460810#1058003#22339,0,0.2659
464114#590694#489648,0,0.4558
137300#589536#490806,1,0.6145
369160#402389#677531,1,0.8762
459950#43747#1061072,1,0.5989
162352#906297#174045,0,0.3321
96065#1020317#60025,0,0.4491
454004#115283#972537,0,0.3655
572305#1033709#46633,0,0.1274
580026#64189#1040810,0,0.3106
34213#1037970#42372,0,0.0963
447528#67126#1037906,1,0.5867
272984#565671#514671,0,0.3557
430439#806242#274100,0,0.4754
32094#366934#712926,0,0.3924
189215#264241#818748,1,0.6131
189473#205468#879799,0,0.3926
388110#567415#512927,0,0.1769
515813#98912#988866,1,0.6793
476690#315232#767906,0,0.1782
446720#796887#283455,0,0.219
401272#607878#472464,0,0.2176
405556#716252#364090,1,0.5746
407266#743935#336407,0,0.1948
594421#543137#537205,0,0.2561
